job_title,job_description,company,location,skills,skills_count
ut voluptatem illum ea doloribus itaque eos,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
laborum non sunt aut ut assumenda perspiciatis voluptas,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
repellendus qui recusandae incidunt voluptates tenetur qui omnis exercitationem,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
soluta aliquam aperiam consequatur illo quis voluptas,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
qui enim et consequuntur quia animi quis voluptate quibusdam,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
ut quo aut ducimus alias,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
sit asperiores ipsam eveniet odio non quia,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
sit vel voluptatem et non libero,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
qui et at rerum necessitatibus,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
sed ab est est,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
voluptatum itaque dolores nisi et quasi,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
qui commodi dolor at maiores et quis id accusantium,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
consequatur placeat omnis quisquam quia reprehenderit fugit veritatis facere,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
voluptatem doloribus consectetur est ut ducimus,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
beatae enim quia vel,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
voluptas blanditiis repellendus animi ducimus error sapiente et suscipit,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
et fugit quas eum in in aperiam quod,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
consequatur id enim sunt et et,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
repudiandae ea animi iusto,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
aliquid eos sed fuga est maxime repellendus,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
odio quis facere architecto reiciendis optio,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
fugiat quod pariatur odit minima,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
voluptatem laborum magni,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
et iusto veniam et illum aut fuga,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
sint hic doloribus consequatur eos non id,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
consequuntur deleniti eos quia temporibus ab aliquid at,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
enim unde ratione doloribus quas enim ut sit sapiente,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
dignissimos eum dolor ut enim et delectus in,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
doloremque officiis ad et non perferendis,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
necessitatibus quasi exercitationem odio,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
quam voluptatibus rerum veritatis,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
pariatur consequatur quia magnam autem omnis non amet,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
labore in ex et explicabo corporis aut quas,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
tempora rem veritatis voluptas quo dolores vero,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
laudantium voluptate suscipit sunt enim enim,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
odit et voluptates doloribus alias odio et,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
optio ipsam molestias necessitatibus occaecati facilis veritatis dolores aut,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
dolore veritatis porro provident adipisci blanditiis et sunt,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
placeat quia et porro iste,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
nostrum quis quasi placeat,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
sapiente omnis fugit eos,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
sint soluta et vel magnam aut ut sed qui,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
ad iusto omnis odit dolor voluptatibus,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
aut amet sed,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
ratione ex tenetur perferendis,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
beatae soluta recusandae,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
qui qui voluptates illo iste minima,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
id minus libero illum nam ad officiis,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
quaerat velit veniam amet cupiditate aut numquam ut sequi,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
quas fugiat ut perspiciatis vero provident,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
laboriosam dolor voluptates,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
temporibus sit alias delectus eligendi possimus magni,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
at nam consequatur ea labore ea harum,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
